86842	88248	82706	93610	95514	89640	84415	87856	76829	77996	84388	95306	81845	79842	98090	107321	89773	90895	89662	92402	89453	98951	91935	85152	88927	77442	84196	86152	87055	89796	89382	83397	90811	85255	86875
88675	91758	88743	91458	91524	83497	94168	89968	91865	90806	90491	104625	91217	91591	91114	112753	90150	92371	91190	93015	92860	93786	93060	89779	90410	89406	92064	93584	91776	91027	89295	88584	93565	89328	90358
88448	91510	88513	91019	91262	83268	93685	89739	91632	90376	90259	104390	90990	91363	90883	111866	89926	92137	90960	92785	92618	93562	92828	89550	90180	89152	91830	93348	91545	90792	89072	88354	93337	89100	90126
88283	91346	88347	90858	91099	83102	93531	89572	91465	90219	90087	104252	90824	91199	90724	111759	89760	91964	90791	92616	92450	93402	92665	89382	90015	88989	91666	93186	91387	90626	88912	88186	93171	88935	89958
88199	91268	88258	90794	91022	83021	93450	89484	91384	90137	89989	104168	90738	91122	90654	111718	89672	92085	90701	92521	92368	93313	92587	89288	89935	88906	91582	93109	91313	90545	88825	88092	93085	88851	89878
91148	93737	91694	91842	93020	86010	96248	92732	93825	92863	94206	106730	93638	93246	92289	112135	93225	96778	94053	96413	95224	96811	94817	93237	92336	91659	94327	95224	93185	93070	92174	91946	96253	91630	92495
102648	104749	102652	101911	103019	96926	108595	104176	103979	104785	104964	115103	104889	103772	101771	117734	104896	107392	105144	107336	104223	108545	104771	104693	103103	103006	104297	105032	102816	103352	104014	102714	107766	102772	103508
113986	115810	113466	112556	113293	107827	120729	115350	114250	116504	115368	123082	115904	114530	111630	125461	116217	117375	116117	117911	113090	120020	114907	116023	113766	114365	114133	114793	112554	113647	115773	113115	119195	113755	114383
120118	121922	119567	118731	119226	114000	126991	121408	120163	122587	121304	127567	121788	120666	117440	129883	122292	122978	122322	123825	118248	126256	120818	122573	119539	120638	119709	120238	118077	119485	122304	118921	125514	119671	120281
122286	124154	121964	121105	121490	116469	128941	123582	122480	124507	123740	129150	123799	123028	119751	131128	124446	125226	124757	126135	120321	128564	123175	125373	121521	122944	121828	122205	120129	121713	124845	121178	127886	121726	122381
124469	126327	124259	123539	123618	118953	130903	125806	124736	126414	126087	130874	125829	125370	122005	132505	126587	127424	127143	128375	122254	130918	125560	128175	123578	125192	124001	124277	122255	123940	127392	123391	130174	123735	124591
126995	128733	126648	125521	126008	120684	133433	128389	127100	128831	128485	133151	128235	127757	124142	134703	129105	129795	129677	130775	123992	133442	128071	130094	126068	127662	126472	126692	124633	126402	129784	125800	132601	126056	127064
126709	128443	126226	125941	125661	121071	133154	128121	126777	128566	128051	133219	127955	127499	124078	135012	128756	129381	129283	130370	123896	133021	127849	130286	125887	127321	126311	126683	124559	126225	129532	125425	132153	125770	126903
125205	127025	124583	124784	124117	119675	131726	126692	125277	127154	126348	132234	126502	126091	122752	134566	127206	127656	127682	128718	122481	131380	126480	128606	124585	125798	125002	125595	123424	124885	127985	123813	130480	124389	125675
123020	124936	122274	122829	121986	117534	129526	124481	123150	124907	124007	130494	124337	123985	120785	133332	124934	125310	125350	126447	120548	129089	124407	126257	122517	123562	122973	123742	121545	122774	125664	121533	128214	122303	123625
122511	124387	121579	122317	121520	116800	129170	123898	122556	124578	123208	129948	123908	123408	120218	133291	124356	124519	124682	125743	119913	128514	123750	125330	122048	123001	122354	123202	120986	122168	124948	120824	127631	121838	123043
124723	126450	123644	123827	123709	118343	131793	126003	124451	127199	125170	131424	126271	125243	121874	134739	126667	126604	126725	127810	121581	130674	125387	126878	124150	125196	124110	124760	122558	123953	126831	122887	129904	124053	124839
129069	130246	128227	126420	128135	121621	136521	130532	128239	131938	130244	135715	130821	128639	125030	136594	131601	132561	131409	132713	124883	135090	128933	131037	128172	129496	128234	127801	125504	127646	130708	127831	134446	128197	128106
129465	130648	128614	126821	128514	122009	136947	130919	128629	132357	130608	136132	131211	129036	125422	137096	131993	132918	131786	133086	125273	135483	129322	131414	128564	129896	128617	128197	125901	128035	131109	128200	134840	128598	128510
127325	128583	127053	125561	126869	120612	133609	129230	127387	129034	129548	135804	128835	127570	124496	136815	129840	131714	130484	131732	124218	133615	128869	130554	126699	127755	128105	127507	125183	127039	129452	126911	132646	126190	126892
119153	120958	118961	119764	119129	113972	124649	121068	120176	120139	121376	130124	120441	120604	118190	132594	121160	123041	122383	123426	117583	125427	122225	123285	119040	119665	120925	121138	118969	119964	121838	118687	124261	118100	119826
113098	115316	112839	115418	113486	108777	118210	114950	114760	113765	115066	125259	114297	115381	113453	129683	114699	116372	116243	117106	112511	119244	117147	117475	113413	113678	115472	116312	114273	114615	115984	112432	118020	112161	114495
108872	111238	108450	111837	109679	104501	113966	110694	110808	109626	110563	122152	110215	111415	109833	127923	110304	111898	111860	112687	108769	114778	113321	112704	109580	109424	111672	112775	110761	110708	111402	108098	113588	108078	110512
101032	103708	100662	105080	102411	97150	105722	102862	103636	101599	102789	116240	102526	104155	103155	123284	102247	104147	103984	104902	102386	106743	106324	104707	102292	101567	104667	106212	104240	103583	103346	100430	105547	100497	103262
93851	96786	93604	98857	95661	90559	98075	95731	97062	94127	95819	110794	95422	97506	97010	118623	94899	97189	96858	97870	96519	99472	99957	97666	95549	94368	98277	100175	98237	97073	96123	93498	98206	93494	96635
90096	91434	88934	93394	91006	88136	90955	92119	92375	91926	88787	108799	91942	91744	90892	99879	92494	93156	90021	91595	98219	91562	93940	89941	89338	91100	94765	96799	91672	91206	90627	89804	91742	89902	84445
89871	90876	88706	93023	90774	87907	90727	91884	92142	91698	88552	108566	91711	91511	90663	99646	92269	92925	89791	91365	97983	91336	93704	89671	89106	90868	94531	96566	91330	90971	90402	89369	91511	89557	84215
89709	90717	88542	92870	90608	87750	90559	91712	91976	91536	88377	108440	91543	91345	90502	99495	92108	92754	89622	91195	97826	91170	93545	89509	88941	90702	94366	96409	91173	90807	90237	89212	91344	89393	84050
89618	90640	88456	92808	90517	87670	90464	91613	91894	91442	88632	108367	91450	91263	90430	99432	92019	92657	89533	91101	97742	91087	93470	89425	88861	90610	94284	96327	91110	90730	90144	89134	91248	89318	83974
93235	92897	91669	93493	94002	90007	94588	96020	94538	95606	93317	110046	95189	93820	92118	100009	95405	96815	92989	95083	100530	94113	95376	92185	91260	94180	96866	98916	92147	92771	93787	91671	95130	91500	85929
105049	104656	103085	102964	104631	99544	106380	106549	105080	107324	103601	117953	106394	103708	102075	108613	107402	108117	104370	106274	109753	105150	104487	103586	101701	105518	106779	107575	101617	102632	105467	103430	106555	102611	96378
116617	116355	114457	112789	115126	109112	117889	116526	115723	118788	113289	125726	117301	113562	112285	117713	118984	118986	115496	117225	118786	116264	113646	114923	112188	116540	116654	116305	111667	112615	116631	115008	117550	113903	106942
122931	122469	120822	118265	121148	114618	124318	122119	121868	125221	118835	130136	123380	119185	118099	123061	125046	125003	121617	123449	124019	122605	118881	121096	118094	122567	122293	121584	117596	118322	122485	120992	123509	120173	112833
125271	124382	123311	120100	123620	116732	126905	124321	124323	127845	121145	131641	125738	121359	120268	125039	127069	127352	123908	126010	126083	125146	120813	123292	120306	124791	124460	123749	119923	120469	124431	122860	125687	122489	114954
