0.282	0.313	0.359
0.281	0.312	0.361
0.281	0.312	0.364
0.282	0.313	0.367
0.282	0.315	0.369
0.283	0.317	0.372
0.284	0.319	0.374
0.286	0.321	0.376
0.288	0.323	0.378
0.289	0.325	0.379
0.291	0.329	0.380
0.293	0.332	0.384
0.295	0.336	0.387
0.297	0.340	0.390
0.300	0.343	0.393
0.303	0.347	0.397
0.306	0.350	0.400
0.310	0.353	0.404
0.314	0.356	0.407
0.319	0.360	0.411
0.323	0.363	0.415
0.325	0.366	0.421
0.328	0.369	0.427
0.331	0.373	0.434
0.335	0.378	0.442
0.339	0.383	0.449
0.342	0.387	0.458
0.346	0.392	0.467
0.349	0.397	0.477
0.353	0.401	0.487
0.357	0.407	0.498
0.361	0.415	0.509
0.365	0.424	0.521
0.370	0.432	0.532
0.375	0.440	0.544
0.381	0.449	0.556
0.387	0.457	0.569
0.393	0.467	0.581
0.399	0.479	0.594
0.407	0.492	0.606
0.414	0.505	0.617
0.423	0.517	0.629
0.431	0.530	0.640
0.441	0.543	0.650
0.450	0.555	0.660
0.461	0.567	0.670
0.471	0.579	0.679
0.482	0.591	0.687
0.492	0.602	0.695
0.503	0.614	0.703
0.515	0.626	0.710
0.526	0.637	0.717
0.537	0.644	0.724
0.548	0.651	0.730
0.559	0.658	0.736
0.569	0.665	0.742
0.579	0.672	0.747
0.588	0.679	0.753
0.597	0.686	0.758
0.606	0.691	0.763
0.614	0.697	0.767
0.622	0.702	0.771
0.629	0.708	0.775
0.636	0.713	0.779
0.642	0.718	0.782
0.648	0.724	0.786
0.653	0.728	0.789
0.658	0.733	0.791
0.663	0.737	0.794
0.667	0.742	0.796
0.672	0.746	0.797
0.676	0.751	0.799
0.680	0.754	0.800
0.684	0.754	0.801
0.688	0.755	0.801
0.692	0.756	0.801
0.696	0.756	0.802
0.699	0.757	0.801
0.703	0.758	0.802
0.706	0.757	0.801
0.709	0.756	0.802
0.711	0.756	0.802
0.713	0.756	0.803
0.713	0.756	0.805
0.714	0.756	0.808
0.714	0.756	0.810
0.714	0.755	0.812
0.714	0.757	0.814
0.715	0.759	0.816
0.715	0.761	0.818
0.716	0.763	0.820
0.717	0.765	0.823
0.718	0.767	0.825
0.719	0.771	0.828
0.721	0.772	0.830
0.722	0.773	0.832
0.724	0.775	0.835
0.725	0.776	0.838
0.727	0.777	0.841
0.728	0.778	0.845
0.730	0.780	0.848
0.731	0.785	0.851
0.734	0.789	0.854
0.736	0.794	0.857
0.739	0.798	0.859
0.741	0.803	0.861
0.744	0.807	0.862
0.747	0.810	0.863
0.749	0.812	0.865
0.752	0.815	0.866
0.755	0.817	0.867
0.758	0.820	0.868
0.760	0.822	0.869
0.764	0.825	0.870
0.766	0.828	0.872
0.766	0.828	0.875
